Taken, Percentage
98544, 10
98544, 10
98544, 10
98544, 10
98544, 10
98544, 10
98544, 10
98544, 10
98584, 10
98584, 10
98584, 10
98584, 10
98584, 10
98584, 10
98584, 10
98584, 10
98664, 10
98664, 10
98664, 10
98664, 10
98664, 10
98664, 10
98664, 10
98664, 10
98824, 10
98824, 10
98824, 10
98824, 10
98824, 10
98824, 10
98824, 10
98824, 10
99144, 10
99144, 10
99144, 10
99144, 10
99144, 10
99144, 10
99144, 10
99144, 10
99784, 10
99784, 10
99784, 10
99784, 10
99784, 10
99784, 10
99784, 10
99784, 10
101064, 10
101064, 10
101064, 10
101064, 10
101064, 10
101064, 10
101064, 10
101064, 10
103624, 10
103624, 10
103624, 10
103624, 10
103624, 10
103624, 10
103624, 10
103624, 10
108744, 11
108744, 11
108744, 11
108744, 11
108744, 11
108744, 11
108744, 11
108744, 11
118984, 12
118984, 12
118984, 12
118984, 12
118984, 12
118984, 12
118984, 12
118984, 12
139464, 14
139464, 14
139464, 14
139464, 14
139464, 14
139464, 14
139464, 14
139464, 14
98856, 10
98856, 10
98856, 10
98856, 10
98856, 10
98856, 10
98856, 10
98856, 10
98912, 10
98912, 10
98912, 10
98912, 10
98912, 10
98912, 10
98912, 10
98912, 10
99048, 10
99048, 10
99048, 10
99048, 10
99048, 10
99048, 10
99048, 10
99048, 10
99416, 10
99416, 10
99416, 10
99416, 10
99416, 10
99416, 10
99416, 10
99416, 10
100392, 10
100392, 10
100392, 10
100392, 10
100392, 10
100392, 10
100392, 10
100392, 10
104104, 10
104104, 10
104104, 10
104104, 10
104104, 10
104104, 10
104104, 10
104104, 10
117672, 11
117672, 11
117672, 11
117672, 11
117672, 11
117672, 11
117672, 11
117672, 11
169384, 17
169384, 17
169384, 17
169384, 17
169384, 17
169384, 17
169384, 17
169384, 17
371112, 37
371112, 37
371112, 37
371112, 37
371112, 37
371112, 37
371112, 37
371112, 37
















99184, 10
99184, 10
99184, 10
99184, 10
99184, 10
99184, 10
99184, 10
99184, 10
99256, 10
99256, 10
99256, 10
99256, 10
99256, 10
99256, 10
99256, 10
99256, 10
99448, 10
99448, 10
99448, 10
99448, 10
99448, 10
99448, 10
99448, 10
99448, 10
100024, 10
100024, 10
100024, 10
100024, 10
100024, 10
100024, 10
100024, 10
100024, 10
101648, 10
101648, 10
101648, 10
101648, 10
101648, 10
101648, 10
101648, 10
101648, 10
108432, 11
108432, 11
108432, 11
108432, 11
108432, 11
108432, 11
108432, 11
108432, 11
134288, 13
134288, 13
134288, 13
134288, 13
134288, 13
134288, 13
134288, 13
134288, 13
235152, 23
235152, 23
235152, 23
235152, 23
235152, 23
235152, 23
235152, 23
235152, 23
633488, 64
633488, 64
633488, 64
633488, 64
633488, 64
633488, 64
633488, 64
633488, 64
















99504, 10
99504, 10
99504, 10
99504, 10
99504, 10
99504, 10
99504, 10
99504, 10
99592, 10
99592, 10
99592, 10
99592, 10
99592, 10
99592, 10
99592, 10
99592, 10
99840, 10
99840, 10
99840, 10
99840, 10
99840, 10
99840, 10
99840, 10
99840, 10
100624, 10
100624, 10
100624, 10
100624, 10
100624, 10
100624, 10
100624, 10
100624, 10
102904, 10
102904, 10
102904, 10
102904, 10
102904, 10
102904, 10
102904, 10
102904, 10
112760, 11
112760, 11
112760, 11
112760, 11
112760, 11
112760, 11
112760, 11
112760, 11
150904, 15
150904, 15
150904, 15
150904, 15
150904, 15
150904, 15
150904, 15
150904, 15
300920, 30
300920, 30
300920, 30
300920, 30
300920, 30
300920, 30
300920, 30
300920, 30
895864, 91
895864, 91
895864, 91
895864, 91
895864, 91
895864, 91
895864, 91
895864, 91
















99832, 10
99832, 10
99832, 10
99832, 10
99832, 10
99832, 10
99832, 10
99832, 10
99936, 10
99936, 10
99936, 10
99936, 10
99936, 10
99936, 10
99936, 10
99936, 10
100240, 10
100240, 10
100240, 10
100240, 10
100240, 10
100240, 10
100240, 10
100240, 10
101232, 10
101232, 10
101232, 10
101232, 10
101232, 10
101232, 10
101232, 10
101232, 10
104160, 10
104160, 10
104160, 10
104160, 10
104160, 10
104160, 10
104160, 10
104160, 10
117088, 11
117088, 11
117088, 11
117088, 11
117088, 11
117088, 11
117088, 11
117088, 11
167520, 17
167520, 17
167520, 17
167520, 17
167520, 17
167520, 17
167520, 17
167520, 17
366688, 37
366688, 37
366688, 37
366688, 37
366688, 37
366688, 37
366688, 37
366688, 37
























